"Rank","Name","Symbol","marketcap","price (USD)","country"
"338","PopReach","POPR.V","41743730","0.15","Canada"
"339","Silver One Resources","SVE.V","40744855","0.17","Canada"
"340","Draganfly","DPRO","39705012","0.849","Canada"
"341","Mogo","MOGO","39023088","1.56","Canada"
"342","DIRTT Environmental Solutions","DRTT","35057372","0.3343","Canada"
"343","Cielo Waste Solutions","CMC.V","33669048","0.04","Canada"
"344","HEXO","HEXO","31237444","0.71","Canada"
"345","East Side Games","EAGR.TO","28351045","0.35","Canada"
"346","Aptose Biosciences","APTO","22017144","2.97","Canada"
"347","Almaden Minerals","AAU","17838728","0.13","Canada"
"348","Titan Medical","TMDI","16070740","0.14","Canada"
"349","Sphere 3D","ANY","16065675","1.35","Canada"
"350","Playgon Games","DEAL.V","14233743","0.06","Canada"
"351","Acasti Pharma","ACST","13257493","1.78","Canada"
"352","Akumin","AKU","12830788","0.141","Canada"
"353","Lucy Scientific Discovery","LSDI","11734790","0.665","Canada"
"354","Greenbrook TMS","GBNH","11069911","0.2588","Canada"
"355","IMV","IMV","9808230","0.8225","Canada"
"356","Liquid Media Group","YVR","9171556","0.43","Canada"
"357","DAVIDsTEA","DTEAF","8785623","0.33","Canada"
"358","Orosur Mining","OMI.V","6974920","0.04","Canada"
"359","Zoomd Technologies","ZOMD.V","5077980","0.05","Canada"
"360","Wolverine Energy and Infrastructure","WEII.V","4081749","0.04","Canada"
"361","Field Trip Health","FTHW.V","3701866","0.04","Canada"
"362","Versus Systems","VS","2893428","0.27","Canada"
"363","Bruush Oral Care (Brüush)","BRSH","1833663","1.15","Canada"
"364","Playground Ventures","PLAY.CN","1780820","0.02","Canada"
"365","Neptune Wellness Solutions","NEPT","850371","1.41","Canada"
"366","Trillium Gold Mines","TGM.V","775193","0.05","Canada"
"367","Kuuhubb","KUU.V","715300","0.01","Canada"
"368","Skylight Health Group","SLHG.V","589218","0.01","Canada"
"369","Great Panther Mining","GPLDF","47","1.0E-6","Canada"
